"id";"Date";"VK";"VP";"SP";"SK";"SJ";"ST";"SB";"VB"
1;"2014-04-10";797.0;143.03;8869.1;23026.1;142.0;228.0;22884.1;72.66
2;"2014-05-09";827.0;151.74;9306.0;24458.5;626.0;522.0;23832.5;75.03
3;"2014-06-11";861.0;162.46;9774.9;25888.0;1061.0;817.0;24827.0;77.62
4;"2014-07-10";894.0;171.46;10141.7;27100.0;1418.0;1075.0;25682.0;80.28
5;"2014-08-10";922.0;179.76;10491.6;28042.0;1601.0;1328.0;26441.0;82.47
6;"2014-09-11";951.0;188.75;10899.8;29302.5;1952.0;1575.0;27350.5;84.69
7;"2014-10-11";980.0;197.31;11298.0;30651.7;2357.0;1861.0;28294.7;86.97
8;"2014-11-11";1010.0;205.81;11737.8;32142.1;2843.0;2174.0;29299.1;89.35
9;"2014-12-10";1039.0;214.35;12208.1;33515.0;3234.0;2480.0;30281.0;91.63
10;"2015-01-10";1068.0;223.12;12774.4;35153.0;3654.0;2847.0;31499.0;93.88
11;"2015-02-10";1095.0;231.81;13344.5;36775.0;4109.0;3173.0;32666.0;95.91
12;"2015-03-11";1121.0;240.31;13861.7;38174.0;4484.0;3452.0;33690.0;97.85
13;"2015-04-10";1146.0;249.11;14355.0;39587.9;4900.0;3778.0;34687.9;99.65
14;"2015-05-10";1180.0;257.93;14766.3;40981.0;5272.0;4085.0;35709.0;102.45
15;"2015-06-10";1209.0;265.75;15157.1;42266.0;5667.0;4341.0;36599.0;104.81
16;"2015-07-10";1238.0;272.2;15473.6;43348.0;5997.0;4605.0;37351.0;107.31
17;"2015-08-10";1264.0;278.71;15767.1;44163.8;6081.0;4805.0;38082.8;109.48
18;"2015-09-10";1290.0;285.46;16106.6;45223.0;6353.0;5035.0;38870.0;111.62
19;"2015-10-10";1317.0;292.33;16484.2;46382.0;6674.0;5290.0;39708.0;113.85
20;"2015-11-11";1343.0;299.05;16880.4;47683.0;7076.0;5586.0;40607.0;115.99
21;"2015-12-10";1367.0;305.07;17251.7;48912.0;7459.0;5865.0;41453.0;117.99
22;"2016-01-11";1391.0;311.67;17701.8;50503.0;7969.0;6215.0;42534.0;119.93
23;"2016-02-10";1415.0;317.84;18130.1;51792.0;8344.0;6477.0;43448.0;121.91
24;"2016-03-10";5.0;324.83;18529.3;53082.0;8722.0;6775.0;44360.0;-35.54
25;"2016-04-10";30.0;331.51;18946.8;54428.0;9088.0;7071.0;45340.0;-33.5
26;"2016-05-10";55.0;338.6;19324.3;55564.0;9445.0;7342.0;46119.0;-31.51
27;"2016-06-10";80.0;345.53;19662.3;56707.0;9777.0;7603.0;46930.0;-29.5
28;"2016-07-12";108.0;354.07;20001.0;57900.0;10116.0;7876.0;47784.0;-27.34
29;"2016-08-10";137.0;361.0;20242.0;58646.0;10229.0;8065.0;48417.0;-24.89
30;"2016-09-10";162.0;366.17;20543.3;59647.0;10456.0;8307.0;49191.0;-22.69
31;"2016-10-10";190.0;372.86;20867.0;60703.0;10744.0;8534.0;49959.0;-20.32
32;"2016-11-11";216.0;380.46;21237.2;61957.0;11121.0;8820.0;50836.0;-18.27
33;"2016-12-11";242.0;388.47;21651.3;63341.0;11520.0;9135.0;51821.0;-16.27
34;"2017-01-10";269.0;396.17;22221.4;65006.0;11996.0;9484.0;53010.0;-14.13
35;"2017-02-10";296.0;403.8;22802.3;66652.0;12496.0;9799.0;54156.0;-11.98
36;"2017-03-10";320.0;410.62;23211.9;67971.0;12918.0;10065.0;55053.0;-10.07
37;"2017-04-11";348.0;418.0;23671.1;69383.0;13298.0;10381.0;56085.0;-7.78
38;"2017-05-11";382.0;428.33;24078.1;70753.0;13721.0;10683.0;57032.0;-5.15
39;"2017-06-10";412.0;436.0;24398.4;71856.0;14038.0;10947.0;57818.0;-2.67
40;"2017-07-09";446.0;444.02;24726.4;72903.0;14327.0;11174.0;58576.0;0.22
41;"2017-08-10";480.0;452.0;24995.9;74051.0;14668.0;11449.0;59383.0;3.11
42;"2017-09-10";510.0;460.0;25290.1;75110.0;14935.0;11735.0;60175.0;5.56
43;"2017-10-11";540.0;468.0;25629.3;76368.0;15353.0;12014.0;61015.0;8.0
44;"2017-11-11";565.0;476.0;26033.8;77757.0;15820.0;12306.0;61937.0;9.89
45;"2017-12-11";592.0;479.72;26458.7;79215.0;16303.0;12624.0;62912.0;12.48
46;"2018-01-11";618.0;487.44;26918.3;80746.0;16784.0;12975.0;63962.0;14.51
47;"2018-02-10";644.0;494.69;27357.4;82174.0;17286.0;13250.0;64888.0;16.59
48;"2018-03-10";670.0;501.77;27867.5;83724.0;17821.0;13552.0;65903.0;18.69
49;"2018-04-10";696.0;509.86;28286.0;85156.0;18283.0;13883.0;66873.0;20.68
50;"2018-05-10";727.0;517.74;28644.6;86441.0;18693.0;14148.0;67748.0;23.25
51;"2018-06-10";757.0;525.97;28988.9;87613.0;19081.0;14381.0;68532.0;25.67
52;"2018-07-10";787.0;534.21;29216.0;88720.0;19502.0;14621.0;69218.0;28.09
53;"2018-08-10";810.0;539.82;29563.2;89594.0;19656.0;14770.0;69938.0;30.02
54;"2018-09-10";840.0;547.82;29917.0;90706.0;19996.0;14991.0;70710.0;32.46
55;"2018-10-10";869.0;557.04;30265.2;91878.0;20375.0;15223.0;71503.0;34.66
56;"2018-11-11";899.0;566.0;30654.5;93189.0;20834.0;15475.0;72355.0;37.0
57;"2018-12-10";920.0;573.19;31151.3;94666.0;21346.0;15735.0;73320.0;38.53
58;"2019-01-10";950.0;580.0;31712.5;96311.0;21889.0;16038.0;74422.0;41.11
59;"2019-02-10";978.0;592.51;32278.6;97893.0;22420.0;16315.0;75473.0;42.83
60;"2019-03-10";1007.0;601.11;32705.1;99209.0;22778.0;16579.0;76431.0;45.1
61;"2019-04-10";1038.0;610.98;33180.4;100611.0;23210.0;16829.0;77401.0;47.45
62;"2019-05-11";1070.0;619.28;33555.8;101909.0;23654.0;17091.0;78255.0;50.08
63;"2019-06-10";1099.0;628.25;33929.1;103180.0;24071.0;17330.0;79109.0;52.31
64;"2019-07-10";1134.0;636.9;34273.4;104305.0;24405.0;17532.0;79900.0;55.23
65;"2019-08-10";1166.0;644.91;34587.2;105229.0;24615.0;17686.0;80614.0;57.9
66;"2019-09-11";1195.0;653.17;34918.8;106387.0;24970.0;17898.0;81417.0;60.2
67;"2019-10-10";1228.0;661.83;35260.4;107620.0;25406.0;18120.0;82214.0;62.91
